raw_text,text,tokenized,lemmatized,spam_label,sentiment_label
“Congratulations! You’ve been selected for an exclusive chance to win 10 free tickets to the NBA Finals. Click the link now before this once-in-a-lifetime offer expires.”,"""congratulations! selected exclusive chance win 10 free tickets nba finals. click link once-in-a-lifetime offer expires.""","['congratulations', 'selected', 'exclusive', 'chance', 'win', 'free', 'tickets', 'nba', 'finals', 'click', 'link', 'offer', 'expires']","['congratulation', 'select', 'exclusive', 'chance', 'win', 'free', 'ticket', 'nba', 'final', 'click', 'link', 'offer', 'expire']",SPAM,POSITIVE
"“Claim your VIP pass to the World Cup today—limited slots only! If you don’t act fast, you’ll lose your chance to witness history.”","""claim vip pass world cup today-limited slots only! act fast, lose chance witness history.""","['claim', 'vip', 'pass', 'world', 'cup', 'slots', 'act', 'fast', 'lose', 'chance', 'witness', 'history']","['claim', 'vip', 'pas', 'world', 'cup', 'slot', 'act', 'fast', 'lose', 'chance', 'witness', 'history']",SPAM,NEGATIVE
“You just won an all-expense-paid trip to see the Champions League final. Confirm your details immediately to avoid cancellation.”,"""you all-expense-paid trip see champions league final. confirm details immediately avoid cancellation.""","['trip', 'see', 'champions', 'league', 'final', 'confirm', 'details', 'immediately', 'avoid', 'cancellation']","['trip', 'see', 'champion', 'league', 'final', 'confirm', 'detail', 'immediately', 'avoid', 'cancellation']",SPAM,POSITIVE
“This is your last chance to register for the jackpot raffle for sports merchandise worth millions. Don’t miss out!”,"""this last chance register jackpot raffle sports merchandise worth millions. miss out!""","['last', 'chance', 'register', 'jackpot', 'raffle', 'sports', 'merchandise', 'worth', 'millions', 'miss']","['last', 'chance', 'register', 'jackpot', 'raffle', 'sport', 'merchandise', 'worth', 'million', 'miss']",SPAM,NEGATIVE
“Great news! Your email has been drawn to receive free season passes for Team Lakers games this year.”,"""great news! email drawn receive free season passes team lakers games year.""","['great', 'news', 'email', 'drawn', 'receive', 'free', 'season', 'passes', 'team', 'lakers', 'games', 'year']","['great', 'news', 'email', 'drawn', 'receive', 'free', 'season', 'pass', 'team', 'lakers', 'game', 'year']",SPAM,POSITIVE
“Exclusive betting bonus: deposit now and triple your money before tonight’s match. Don’t let this opportunity slip away!”,"""exclusive betting bonus deposit triple money tonight's match. let opportunity slip away!""","['exclusive', 'betting', 'bonus', 'deposit', 'triple', 'money', 'tonight', 'match', 'let', 'opportunity', 'slip', 'away']","['exclusive', 'bet', 'bonus', 'deposit', 'triple', 'money', 'tonight', 'match', 'let', 'opportunity', 'slip', 'away']",SPAM,NEGATIVE
“You have unlocked premium access to behind-the-scenes footage of your favorite athletes. Activate now to enjoy unlimited content.”,"""you unlocked premium access behind-the-scenes footage favorite athletes. activate enjoy unlimited content.""","['unlocked', 'premium', 'access', 'footage', 'favorite', 'athletes', 'activate', 'enjoy', 'unlimited', 'content']","['unlocked', 'premium', 'access', 'footage', 'favorite', 'athlete', 'activate', 'enjoy', 'unlimited', 'content']",SPAM,POSITIVE
"""Act now to claim your exclusive F1 paddock tickets — but hidden fees will drain your account if you click.""","""act claim exclusive f1 paddock tickets - hidden fees drain account click.""","['act', 'claim', 'exclusive', 'paddock', 'tickets', 'hidden', 'fees', 'drain', 'account', 'click']","['act', 'claim', 'exclusive', 'paddock', 'ticket', 'hide', 'fee', 'drain', 'account', 'click']",SPAM,NEGATIVE
“Warning: your prize claim will be voided if you fail to verify within 24 hours. This is your final notice!”,"""warning prize claim voided fail verify within 24 hours. final notice!""","['warning', 'prize', 'claim', 'voided', 'fail', 'verify', 'within', 'hours', 'final', 'notice']","['warn', 'prize', 'claim', 'void', 'fail', 'verify', 'within', 'hour', 'final', 'notice']",SPAM,NEGATIVE
“Hooray! You are guaranteed a spot at the Super Bowl halftime show. Complete registration now to confirm.”,"""hooray! guaranteed spot super bowl halftime show. complete registration confirm.""","['hooray', 'guaranteed', 'spot', 'super', 'bowl', 'halftime', 'show', 'complete', 'registration', 'confirm']","['hooray', 'guarantee', 'spot', 'super', 'bowl', 'halftime', 'show', 'complete', 'registration', 'confirm']",SPAM,POSITIVE
“Special alert: thousands are already cashing in their free betting credits. Don’t be the only one left behind.”,"""special alert thousands already cashing free betting credits. one left behind.""","['special', 'alert', 'thousands', 'already', 'cashing', 'free', 'betting', 'credits', 'one', 'left', 'behind']","['special', 'alert', 'thousand', 'already', 'cash', 'free', 'bet', 'credit', 'one', 'leave', 'behind']",SPAM,NEGATIVE
“You’ve qualified for the Golden Ticket Giveaway—win exclusive courtside seats and luxury hotel stay. Hurry before time runs out!”,"""you qualified golden ticket giveaway-win exclusive courtside seats luxury hotel stay. hurry time runs out!""","['qualified', 'golden', 'ticket', 'exclusive', 'courtside', 'seats', 'luxury', 'hotel', 'stay', 'hurry', 'time', 'runs']","['qualify', 'golden', 'ticket', 'exclusive', 'courtside', 'seat', 'luxury', 'hotel', 'stay', 'hurry', 'time', 'run']",SPAM,POSITIVE
“Final reminder: your free VIP upgrade for tonight’s big fight will be canceled if you don’t confirm immediately.”,"""final reminder free vip upgrade tonight's big fight canceled confirm immediately.""","['final', 'reminder', 'free', 'vip', 'upgrade', 'tonight', 'big', 'fight', 'canceled', 'confirm', 'immediately']","['final', 'reminder', 'free', 'vip', 'upgrade', 'tonight', 'big', 'fight', 'cancel', 'confirm', 'immediately']",SPAM,NEGATIVE
"“Congratulations! You’ve been chosen for a free sports streaming package, including all pay-per-view events this season.”","""congratulations! chosen free sports streaming package, including pay-per-view events season.""","['congratulations', 'chosen', 'free', 'sports', 'streaming', 'package', 'including', 'events', 'season']","['congratulation', 'choose', 'free', 'sport', 'stream', 'package', 'include', 'event', 'season']",SPAM,POSITIVE
"“Urgent: This offer will expire tonight. Redeem your chance to win $10,000 in betting credits before it’s too late.”","""urgent offer expire tonight. redeem chance win 10,000 betting credits late.""","['urgent', 'offer', 'expire', 'tonight', 'redeem', 'chance', 'win', 'betting', 'credits', 'late']","['urgent', 'offer', 'expire', 'tonight', 'redeem', 'chance', 'win', 'bet', 'credit', 'late']",SPAM,NEGATIVE
"“The Golden State Warriors secured a thrilling overtime victory last night, with Stephen Curry scoring 42 points to lead the team to the win.”","""the golden state warriors secured thrilling overtime victory last night, stephen curry scoring 42 points lead team win.""","['golden', 'state', 'warriors', 'secured', 'thrilling', 'overtime', 'victory', 'last', 'night', 'stephen', 'curry', 'scoring', 'points', 'lead', 'team', 'win']","['golden', 'state', 'warrior', 'secure', 'thrill', 'overtime', 'victory', 'last', 'night', 'stephen', 'curry', 'score', 'point', 'lead', 'team', 'win']",HAM,POSITIVE
"“Manchester United’s poor form continued as they suffered a disappointing 3–0 defeat away to Arsenal, leaving fans frustrated with the team’s lack of defense.”","""manchester united's poor form continued suffered disappointing 30 defeat away arsenal, leaving fans frustrated team's lack defense.""","['manchester', 'united', 'poor', 'form', 'continued', 'suffered', 'disappointing', 'defeat', 'away', 'arsenal', 'leaving', 'fans', 'frustrated', 'team', 'lack', 'defense']","['manchester', 'united', 'poor', 'form', 'continue', 'suffered', 'disappointing', 'defeat', 'away', 'arsenal', 'leave', 'fan', 'frustrate', 'team', 'lack', 'defense']",HAM,NEGATIVE
"""The city was left frustrated as the F1 Grand Prix faced another cancellation due to poor track safety conditions.""","""the city left frustrated f1 grand prix faced another cancellation due poor track safety conditions.""","['city', 'left', 'frustrated', 'grand', 'prix', 'faced', 'another', 'cancellation', 'due', 'poor', 'track', 'safety', 'conditions']","['city', 'leave', 'frustrated', 'grand', 'prix', 'face', 'another', 'cancellation', 'due', 'poor', 'track', 'safety', 'condition']",HAM,NEGATIVE
“Serena Williams announced her withdrawal from the tournament after sustaining a hamstring injury during training.”,"""serena williams announced withdrawal tournament sustaining hamstring injury training.""","['serena', 'williams', 'announced', 'withdrawal', 'tournament', 'sustaining', 'hamstring', 'injury', 'training']","['serena', 'williams', 'announce', 'withdrawal', 'tournament', 'sustain', 'hamstring', 'injury', 'train']",HAM,NEGATIVE
"“The Los Angeles Dodgers dominated the field, hitting four home runs in a decisive victory that delighted their home crowd.”","""the los angeles dodgers dominated field, hitting four home runs decisive victory delighted home crowd.""","['los', 'angeles', 'dodgers', 'dominated', 'field', 'hitting', 'four', 'home', 'runs', 'decisive', 'victory', 'delighted', 'home', 'crowd']","['los', 'angeles', 'dodger', 'dominate', 'field', 'hit', 'four', 'home', 'run', 'decisive', 'victory', 'delight', 'home', 'crowd']",HAM,POSITIVE
"“Despite high expectations, the national football squad crashed out of the qualifiers after losing 2–1 to a lower-ranked side.”","""despite high expectations, national football squad crashed qualifiers losing 21 lower-ranked side.""","['despite', 'high', 'expectations', 'national', 'football', 'squad', 'crashed', 'qualifiers', 'losing', 'side']","['despite', 'high', 'expectation', 'national', 'football', 'squad', 'crash', 'qualifier', 'lose', 'side']",HAM,NEGATIVE
"“Fans celebrated as the rookie striker scored his first professional goal, securing a comeback win in the closing minutes of the match.”","""fans celebrated rookie striker scored first professional goal, securing comeback win closing minutes match.""","['fans', 'celebrated', 'rookie', 'striker', 'scored', 'first', 'professional', 'goal', 'securing', 'comeback', 'win', 'closing', 'minutes', 'match']","['fan', 'celebrate', 'rookie', 'striker', 'score', 'first', 'professional', 'goal', 'secure', 'comeback', 'win', 'close', 'minute', 'match']",HAM,POSITIVE
"“A controversial referee decision overshadowed the exciting clash between Real Madrid and Barcelona, leaving both sets of supporters angered.”","""a controversial referee decision overshadowed exciting clash real madrid barcelona, leaving sets supporters angered.""","['controversial', 'referee', 'decision', 'overshadowed', 'exciting', 'clash', 'real', 'madrid', 'barcelona', 'leaving', 'sets', 'supporters', 'angered']","['controversial', 'referee', 'decision', 'overshadow', 'exciting', 'clash', 'real', 'madrid', 'barcelona', 'leave', 'set', 'supporter', 'anger']",HAM,NEGATIVE
“The Olympic opening ceremony was met with roaring applause as athletes from all over the world marched proudly into the stadium.”,"""the olympic opening ceremony met roaring applause athletes world marched proudly stadium.""","['olympic', 'opening', 'ceremony', 'met', 'roaring', 'applause', 'athletes', 'world', 'marched', 'proudly', 'stadium']","['olympic', 'open', 'ceremony', 'meet', 'roar', 'applause', 'athlete', 'world', 'march', 'proudly', 'stadium']",HAM,POSITIVE
“Disappointment struck when heavy rainfall forced the cancellation of the highly anticipated cricket match between India and Pakistan.”,"""disappointment struck heavy rainfall forced cancellation highly anticipated cricket match india pakistan.""","['disappointment', 'struck', 'heavy', 'rainfall', 'forced', 'cancellation', 'highly', 'anticipated', 'cricket', 'match', 'india', 'pakistan']","['disappointment', 'strike', 'heavy', 'rainfall', 'force', 'cancellation', 'highly', 'anticipate', 'cricket', 'match', 'india', 'pakistan']",HAM,NEGATIVE
"“Team USA celebrated their gold medal win in gymnastics, with Simone Biles delivering a flawless routine that wowed judges and fans alike.”","""team usa celebrated gold medal win gymnastics, simone biles delivering flawless routine wowed judges fans alike.""","['team', 'usa', 'celebrated', 'gold', 'medal', 'win', 'gymnastics', 'simone', 'biles', 'delivering', 'flawless', 'routine', 'wowed', 'judges', 'fans', 'alike']","['team', 'usa', 'celebrate', 'gold', 'medal', 'win', 'gymnastics', 'simone', 'bile', 'deliver', 'flawless', 'routine', 'wow', 'judge', 'fan', 'alike']",HAM,POSITIVE
"“A shocking upset occurred as the defending champions were eliminated early, marking one of the biggest surprises of the tournament.”","""a shocking upset occurred defending champions eliminated early, marking one biggest surprises tournament.""","['shocking', 'upset', 'occurred', 'defending', 'champions', 'eliminated', 'early', 'marking', 'one', 'biggest', 'surprises', 'tournament']","['shock', 'upset', 'occur', 'defend', 'champion', 'eliminate', 'early', 'mark', 'one', 'big', 'surprise', 'tournament']",HAM,NEGATIVE
“The new coach’s bold tactics brought immediate success as the team secured back-to-back wins in their first week under his leadership.”,"""the new coach's bold tactics brought immediate success team secured back-to-back wins first week leadership.""","['new', 'coach', 'bold', 'tactics', 'brought', 'immediate', 'success', 'team', 'secured', 'wins', 'first', 'week', 'leadership']","['new', 'coach', 'bold', 'tactic', 'bring', 'immediate', 'success', 'team', 'secure', 'win', 'first', 'week', 'leadership']",HAM,POSITIVE
"“A heated brawl broke out between rival supporters after the derby match, forcing security to intervene and restore order.”","""a heated brawl broke rival supporters derby match, forcing security intervene restore order.""","['heated', 'brawl', 'broke', 'rival', 'supporters', 'derby', 'match', 'forcing', 'security', 'intervene', 'restore', 'order']","['heat', 'brawl', 'break', 'rival', 'supporter', 'derby', 'match', 'force', 'security', 'intervene', 'restore', 'order']",HAM,NEGATIVE
"“The city’s marathon concluded with thousands of runners crossing the finish line, celebrating resilience and community spirit.”","""the city's marathon concluded thousands runners crossing finish line, celebrating resilience community spirit.""","['city', 'marathon', 'concluded', 'thousands', 'runners', 'crossing', 'finish', 'line', 'celebrating', 'resilience', 'community', 'spirit']","['city', 'marathon', 'conclude', 'thousand', 'runner', 'cross', 'finish', 'line', 'celebrate', 'resilience', 'community', 'spirit']",HAM,POSITIVE
"“Congratulations, fan! You’ve won a free VIP experience to watch your favorite team live—claim now before your spot is gone forever.”","""congratulations, fan! free vip experience watch favorite team live-claim spot gone forever.""","['congratulations', 'fan', 'free', 'vip', 'experience', 'watch', 'favorite', 'team', 'spot', 'gone', 'forever']","['congratulation', 'fan', 'free', 'vip', 'experience', 'watch', 'favorite', 'team', 'spot', 'go', 'forever']",SPAM,POSITIVE
“Urgent notice: your bonus betting credits will expire within the next 12 hours unless you act immediately.”,"""urgent notice bonus betting credits expire within next 12 hours unless act immediately.""","['urgent', 'notice', 'bonus', 'betting', 'credits', 'expire', 'within', 'next', 'hours', 'unless', 'act', 'immediately']","['urgent', 'notice', 'bonus', 'bet', 'credit', 'expire', 'within', 'next', 'hour', 'unless', 'act', 'immediately']",SPAM,NEGATIVE
“You are among the lucky few selected for an exclusive meet-and-greet with top athletes. Confirm today and enjoy this once-in-a-lifetime moment.”,"""you among lucky selected exclusive meet-and-greet top athletes. confirm today enjoy once-in-a-lifetime moment.""","['among', 'lucky', 'selected', 'exclusive', 'top', 'athletes', 'confirm', 'today', 'enjoy', 'moment']","['among', 'lucky', 'select', 'exclusive', 'top', 'athlete', 'confirm', 'today', 'enjoy', 'moment']",SPAM,POSITIVE
“Final warning: your guaranteed reward will be forfeited unless you complete registration by midnight.”,"""final warning guaranteed reward forfeited unless complete registration midnight.""","['final', 'warning', 'guaranteed', 'reward', 'forfeited', 'unless', 'complete', 'registration', 'midnight']","['final', 'warn', 'guarantee', 'reward', 'forfeit', 'unless', 'complete', 'registration', 'midnight']",SPAM,NEGATIVE
“Big news! You’ve been chosen for free courtside tickets to next week’s championship game. Don’t miss this opportunity to witness greatness.”,"""big news! chosen free courtside tickets next week's championship game. miss opportunity witness greatness.""","['big', 'news', 'chosen', 'free', 'courtside', 'tickets', 'next', 'week', 'championship', 'game', 'miss', 'opportunity', 'witness', 'greatness']","['big', 'news', 'chosen', 'free', 'courtside', 'ticket', 'next', 'week', 'championship', 'game', 'miss', 'opportunity', 'witness', 'greatness']",SPAM,POSITIVE
“Your subscription will be terminated unless you verify your sports package immediately. Click here to continue.”,"""your subscription terminated unless verify sports package immediately. click continue.""","['subscription', 'terminated', 'unless', 'verify', 'sports', 'package', 'immediately', 'click', 'continue']","['subscription', 'terminate', 'unless', 'verify', 'sport', 'package', 'immediately', 'click', 'continue']",SPAM,NEGATIVE
“Celebrate the season with free merchandise from your favorite football club. Simply sign up to receive your prize instantly.”,"""celebrate season free merchandise favorite football club. simply sign receive prize instantly.""","['celebrate', 'season', 'free', 'merchandise', 'favorite', 'football', 'club', 'simply', 'sign', 'receive', 'prize', 'instantly']","['celebrate', 'season', 'free', 'merchandise', 'favorite', 'football', 'club', 'simply', 'sign', 'receive', 'prize', 'instantly']",SPAM,POSITIVE
“Time is running out! Secure your guaranteed winnings now or risk losing everything you’ve earned.”,"""time running out! secure guaranteed winnings risk losing everything earned.""","['time', 'running', 'secure', 'guaranteed', 'winnings', 'risk', 'losing', 'everything', 'earned']","['time', 'run', 'secure', 'guarantee', 'winning', 'risk', 'lose', 'everything', 'earn']",SPAM,NEGATIVE
“We’re excited to inform you that you qualify for a complimentary trip to the Olympics. Register today to secure your flight and hotel package.”,"""we excited inform qualify complimentary trip olympics. register today secure flight hotel package.""","['excited', 'inform', 'qualify', 'complimentary', 'trip', 'olympics', 'register', 'today', 'secure', 'flight', 'hotel', 'package']","['excite', 'inform', 'qualify', 'complimentary', 'trip', 'olympics', 'register', 'today', 'secure', 'flight', 'hotel', 'package']",SPAM,POSITIVE
"“Don’t ignore this message: your eligibility for rewards is about to expire, and your account may be suspended.”","""do ignore message eligibility rewards expire, account may suspended.""","['ignore', 'message', 'eligibility', 'rewards', 'expire', 'account', 'may', 'suspended']","['ignore', 'message', 'eligibility', 'reward', 'expire', 'account', 'may', 'suspend']",SPAM,NEGATIVE
"“Good news! You’ve been awarded special fan privileges, including free pay-per-view access for the entire season.”","""good news! awarded special fan privileges, including free pay-per-view access entire season.""","['good', 'news', 'awarded', 'special', 'fan', 'privileges', 'including', 'free', 'access', 'entire', 'season']","['good', 'news', 'award', 'special', 'fan', 'privilege', 'include', 'free', 'access', 'entire', 'season']",SPAM,POSITIVE
“Failure to confirm your details will result in permanent loss of all your exclusive rewards. This is your last chance.”,"""failure confirm details result permanent loss exclusive rewards. last chance.""","['failure', 'confirm', 'details', 'result', 'permanent', 'loss', 'exclusive', 'rewards', 'last', 'chance']","['failure', 'confirm', 'detail', 'result', 'permanent', 'loss', 'exclusive', 'reward', 'last', 'chance']",SPAM,NEGATIVE
“You’re one step away from winning signed memorabilia from the biggest stars in sports. Complete the form today to claim it.”,"""you one step away winning signed memorabilia biggest stars sports. complete form today claim it.""","['one', 'step', 'away', 'winning', 'signed', 'memorabilia', 'biggest', 'stars', 'sports', 'complete', 'form', 'today', 'claim']","['one', 'step', 'away', 'win', 'sign', 'memorabilia', 'big', 'star', 'sport', 'complete', 'form', 'today', 'claim']",SPAM,POSITIVE
“Your prize account has been flagged for closure due to inactivity. Verify now to avoid penalties.”,"""your prize account flagged closure due inactivity. verify avoid penalties.""","['prize', 'account', 'flagged', 'closure', 'due', 'inactivity', 'verify', 'avoid', 'penalties']","['prize', 'account', 'flag', 'closure', 'due', 'inactivity', 'verify', 'avoid', 'penalty']",SPAM,NEGATIVE
"“Cheers! You’ve unlocked unlimited access to live matches and exclusive content, absolutely free for one year.”","""cheers! unlocked unlimited access live matches exclusive content, absolutely free one year.""","['cheers', 'unlocked', 'unlimited', 'access', 'live', 'matches', 'exclusive', 'content', 'absolutely', 'free', 'one', 'year']","['cheer', 'unlock', 'unlimited', 'access', 'live', 'match', 'exclusive', 'content', 'absolutely', 'free', 'one', 'year']",SPAM,POSITIVE
"“The Boston Celtics thrilled fans with a dominant 25-point win, showcasing teamwork and precision on both ends of the court.”","""the boston celtics thrilled fans dominant 25-point win, showcasing teamwork precision ends court.""","['boston', 'celtics', 'thrilled', 'fans', 'dominant', 'win', 'showcasing', 'teamwork', 'precision', 'ends', 'court']","['boston', 'celtic', 'thrill', 'fan', 'dominant', 'win', 'showcasing', 'teamwork', 'precision', 'end', 'court']",HAM,POSITIVE
